,raceId,name_x,date_x,HAM_Mentions,VER_Mentions,LEC_Mentions
0,1051,Qatar Grand Prix,2021-11-21,2941,3175,280
1,1062,Hungarian Grand Prix,2021-08-01,7253,2635,456
2,1064,Dutch Grand Prix,2021-09-05,2558,3296,252
3,1069,United States Grand Prix,2021-10-24,3347,3914,330
4,1070,Mexico City Grand Prix,2021-11-07,2209,2338,353
5,1071,Ṣo Paulo Grand Prix,2021-11-14,7862,4240,290
6,1072,Saudi Arabian Grand Prix,2021-12-05,8918,11966,396
7,1073,Abu Dhabi Grand Prix,2021-12-12,16905,20200,482
8,1075,Saudi Arabian Grand Prix,2022-03-27,525,1783,1237
9,1083,British Grand Prix,2022-07-03,3778,2217,2508
